//operation op_mod src_fmt src2_fmt dst_fmt operands exp_result
SDOTP 0 FP08 FP08 AL16 955917a32eae0f1009411127 be703764
SDOTP 0 FP08 FP08 AL16 9e1dd5073b8edd8a97b44ffb bab8d507
SDOTP 0 FP08 FP08 AL16 121d72e54d401f677e19b47e 7fc07fc0
SDOTP 0 FP08 FP08 AL16 82b0393113471c7556e8c8f0 c660cd20
SDOTP 0 FP08 FP08 AL16 6c943f478994047e81467735 6c947fc0
SDOTP 0 FP08 FP08 AL16 4ae5ddb65513539590040fd6 4ae5ddb6
SDOTP 0 FP08 FP08 AL16 bd8e4d6a0879eb215d542f9d 4a204d6a
SDOTP 0 FP08 FP08 AL16 770b09eed8b90f6b6928b615 770b408c
SDOTP 0 FP08 FP08 AL16 adcf266a6c5a020ab9ae41cd c521bb6b
SDOTP 0 FP08 FP08 AL16 c2120b3764d52b89de6bf6da c926c4a8
SDOTP 0 FP08 FP08 AL16 8956302ccd381cb4070d30a3 bb023b80
SDOTP 0 FP08 FP08 AL16 36bf12c2a247fc6fcf04f3a8 3ea87f80
SDOTP 0 FP08 FP08 AL16 914cf80a7ebae900dd2e2212 7fc0f80a
SDOTP 0 FP08 FP08 AL16 eea2237319a6cabd0aedebe9 eea24734
SDOTP 0 FP08 FP08 AL16 b3d0c888bd10614b74bebfef c6a0c8ba
SDOTP 0 FP08 FP08 AL16 f6e91e5c72c33091d2c54a1f f6e93fc0
SDOTP 0 FP08 FP08 AL16 6d35c99894893d4cda7b2494 6d35c998
SDOTP 0 FP08 FP08 AL16 8f17cbbdf46e5cd828eb2318 cba8cbbd
SDOTP 0 FP08 FP08 AL16 b2052c96ac4687af945a2f0c 4490b821
SDOTP 0 FP08 FP08 AL16 fbb5affb832bf6f526119771 fbb5cd48
SDOTP 0 FP08 FP08 AL16 7f67a1edb9d7075d75774664 7f6748a0
SDOTP 0 FP08 FP08 AL16 04e611489ef54ade466f4043 cd0cc4a5
SDOTP 0 FP08 FP08 AL16 f534ce85d424b570723160da f534ce85
SDOTP 0 FP08 FP08 AL16 c4652c516a3cb6eb4c256b1f 473cc4ab
SDOTP 0 FP08 FP08 AL16 820ea654104e78007328c457 40f8c800
SDOTP 0 FP08 FP08 AL16 9f5645d0b2f6f8469263d8f5 cba84a79
SDOTP 0 FP08 FP08 AL16 fc6a6bdcae5a399c46d85be4 fc6a6bdc
SDOTP 0 FP08 FP08 AL16 ddd160cd16d28ef86adcdde7 ddd160cd
SDOTP 0 FP08 FP08 AL16 14268933b0c67e69bdfaa528 48907fc0
SDOTP 0 FP08 FP08 AL16 a61795b7bc72e9c0aa1a8076 4210c740
